id,grocery_bill_id,item_name,qty,unit_price,line_total
021191dd-cdb2-405e-95b7-f3a121d1630f,b3f26559-3e91-4739-b1fc-bef0b8a25094,BREAD FRUIT LANKOS Kg { Za \,1.000,20.00,10.00
0249364f-4a26-4069-ba84-2eaecb8a60d1,616b7cc8-bdee-4fda-9065-24aab9a12cde,Egg India,30.000,2.00,60.00
03106fed-f3a4-4879-8b53-75f596ec8b0c,54a70f2d-cc95-4793-98a3-0e3fb9b63d22,Cucumber Fresh Chinese,0.300,95.00,33.25
03fd3b03-af27-4471-8857-11535e5b87e4,b3f26559-3e91-4739-b1fc-bef0b8a25094,BANANA BUNCH INIO Kg ne,6.000,25.00,3.00
07a033db-80b0-4c38-808b-750d7f936510,b3f26559-3e91-4739-b1fc-bef0b8a25094,CARRY BAG (LARG Pcs,1.860,1.86,7.00
0831378f-9ca1-4345-b050-f7e2ea77a3cc,891458c2-b2b6-489e-9b5e-ac19b8c3dcf7,Submarine,5.000,50.00,250.00
0e19413e-e35c-4587-8bc1-76a5476dfd40,0f2a552e-5cbe-4ba5-bd21-e2e409b29009,CHINESE CUCUMBIO. Kg be: (Kg Noi),13.000,65.00,8.45
0eb332df-8f58-45ce-8f7e-110f6fdda884,5dbd1e96-a7f5-40a7-ab59-54082c043f75,Passion Fruit Lanka,1.160,150.00,174.00
13230bfc-b1a8-476a-b3ee-69c969005303,b1d83242-8f0f-4073-8117-cbc516076988,Fanta bottle,1.000,43.83,43.83
166587d5-dbfe-45d3-9589-7cfe256d6be7,54a70f2d-cc95-4793-98a3-0e3fb9b63d22,Fanta Strawberry,1.000,13.21,13.21
177860b5-920d-44f6-aafa-4522190c9749,b3f26559-3e91-4739-b1fc-bef0b8a25094,CARROT CHINANEO. Kg i (Kg),13.000,25.00,3.26
178f8f40-ea65-4d52-aa1e-5eef5a2e952d,d2634ad8-d943-4067-8251-2ce6a88a7ed8,plastic bag fees,1.000,2.00,2.00
186f3cd8-52f4-4da6-b0e4-e8674f035218,616b7cc8-bdee-4fda-9065-24aab9a12cde,Inion India,2.900,10.00,29.00
1afc0831-2ffc-433c-8cda-ebba43fb9062,b3f26559-3e91-4739-b1fc-bef0b8a25094,CHINESE CUCUMBIO. Kg be: (Kg Noi),13.000,65.00,8.45
1eda18d4-0376-4e4f-9ca8-c0f2dad39bc3,f671d931-c5a0-4848-bbc7-b9513ab68345,Submarine,5.000,50.00,250.00
2d6dc627-0912-4416-ab2e-3ef72bf20d50,5c70d62a-7f34-4fed-81c9-b5931664a73d,Colgate,2.000,43.50,87.00
3bd39f6e-a04c-42c0-8a8e-4a1fd3d4c5ae,0f2a552e-5cbe-4ba5-bd21-e2e409b29009,Kg D% %Damage s ©,1.000,66.67,9.00
3cba6d64-8b05-4ba2-adfb-9c8a8fb8f51a,0f2a552e-5cbe-4ba5-bd21-e2e409b29009,BREAD FRUIT LANKOS Kg { Za \,1.000,20.00,10.00
