id,profile_id,type,amount,category_id,income_source_id,description,transaction_date,created_at,updated_at,notes,tags
00c53045-5157-4c96-a5b6-a2e7821609a7,5ae43916-9d10-49aa-bbe6-718ede476e8a,expense,2400.00,9173624c-f61c-417b-bd2d-415f515b1eb0,,Gas hop flip,2026-03-04,2026-03-04 19:16:48.290269+00,2026-03-04 19:16:48.290269+00,,
037e238a-5d68-4445-bd3c-dd26a9168bdd,65ede15e-f450-4a42-b1d9-1496c3359b24,income,15.00,,5cadc13a-25cb-484a-9b31-a4768623eb2b,Taxi [Avas Ride] - Inside Male' - Click Black (AOOG 8852),2026-03-16,2026-03-18 19:37:59.853958+00,2026-03-18 19:37:59.853958+00,"Vehicle: Click Black (AOOG 8852)
App: Avas Ride
Route: Inside Male'
Trips: 1
Rate: 15",
04b4cf2e-13cc-4180-b479-8c6f8f91997f,110675a7-0859-4951-9a93-a418f767c8d4,income,45.00,,d14518b6-2069-465c-9024-abb94ad99cf1,Taxi [Avas Ride] - Inside Male' - Click Black (AOOG 8852),2026-03-19,2026-03-19 19:12:07.150342+00,2026-03-19 19:12:07.150342+00,"Vehicle: Click Black (AOOG 8852)
App: Avas Ride
Route: Inside Male'
Trips: 3
Rate: 15",
056d221f-1fcf-4003-9016-9f3cb9f9cf74,65ede15e-f450-4a42-b1d9-1496c3359b24,expense,1000.00,,,Loan Payment - Reehan,2026-03-07,2026-03-07 21:15:12.524528+00,2026-03-07 21:15:12.524528+00,,
057b2332-f1e1-4bd1-8740-83476c3f8b2c,5ae43916-9d10-49aa-bbe6-718ede476e8a,expense,483.00,9173624c-f61c-417b-bd2d-415f515b1eb0,,Air fryer,2026-03-01,2026-03-01 19:41:17.179118+00,2026-03-01 19:41:17.179118+00,Air fryer from huaopan,
080d782f-f7a8-4cce-a0a7-d44515d111e8,65ede15e-f450-4a42-b1d9-1496c3359b24,expense,40.00,bede1b5b-0fe8-4f04-9465-61db1cb1f9e7,,,2026-03-07,2026-03-07 20:59:30.20032+00,2026-03-07 20:59:30.20032+00,,
09a46812-e63d-4c32-957b-8517f33ff498,65ede15e-f450-4a42-b1d9-1496c3359b24,expense,61.86,2fd8391d-d82d-4f2a-ac6c-007964463312,,Taxi expense - petrol - Click Black (AOOG 8852),2026-03-09,2026-03-09 18:32:15.278049+00,2026-03-09 18:32:15.278049+00,"Vehicle: Click Black (AOOG 8852)
FSM Easy fill ( track)",
0bceb5a3-6c5b-48f7-a898-35a93d056d59,4c276124-ba30-4bfb-aed2-4db99e9563bd,income,35.00,,c80bbdf7-2db2-4ca6-a5d5-98a579daa123,Taxi [Avas Ride] - Airport to Male' - Click Black (AOOG 8852),2026-03-14,2026-03-15 12:38:52.269262+00,2026-03-15 12:38:52.269262+00,"Vehicle: Click Black (AOOG 8852)
App: Avas Ride
Route: Airport to Male'
Trips: 1
Rate: 35",
0d838fe9-dffd-4e84-9ea0-3917e490aad5,65ede15e-f450-4a42-b1d9-1496c3359b24,income,15.00,,5cadc13a-25cb-484a-9b31-a4768623eb2b,Taxi income - Click Black (AOOG 8852),2026-03-03,2026-03-03 15:18:50.155423+00,2026-03-03 15:18:50.155423+00,"Vehicle: Click Black (AOOG 8852)
Trips: 1
Rate: 15",
0e6fcf31-a781-4ae8-a516-7f9fefc276b9,65ede15e-f450-4a42-b1d9-1496c3359b24,expense,60.00,bbf801db-2f62-4842-b718-086acb094de6,,Coffee,2026-03-12,2026-03-13 21:45:42.969776+00,2026-03-13 21:45:42.969776+00,,
